code,company
A060310,3S
A054620,APS홀딩스
A265520,AP시스템
A211270,AP위성
A013720,CBI
A035760,CJ ENM
A311690,CJ 바이오사이언스
A051500,CJ프레시웨이
A058820,CMG제약
A023460,CNH
A065770,CS
A083660,CSA 코스믹
A068790,DMS
A241520,DSC인베스트먼트
A245620,EDGC
A037370,EG
A050120,ES큐브
A084180,EV수성
A214270,FSN
A130500,GH신소재
A900290,GRT
A083450,GST
A297890,HB솔루션
A078150,HB테크놀러지
A195940,HK이노엔
A028300,HLB
A067630,HLB생명과학
A047920,HLB제약
A115450,HLB테라퓨틱스
A036640,HRS
A095340,ISC
A950170,JTC
A067290,JW신약
A035900,JYP Ent.
A318000,KBG
A024840,KBI메탈
A024120,KB오토시스
A021320,KCC건설
A036670,KCI
A044180,KD
A151860,KG ETS
A046440,KG모빌리언스
A035600,KG이니시스
A226360,KH 건설
A111870,KH 일렉트론
A060720,KH바텍
A122450,KMH
A052900,KMH하이텍
A058400,KNN
A114450,KPX생명과학
A060370,KT서브마린
A108320,LX세미콘
A160550,NEW
A053290,NE능률
A104200,NHN벅스
A060250,NHN한국사이버결제
A030190,NICE평가정보
A024940,PN풍년
A218410,RFHIC
A327260,RF머트리얼즈
A091340,S&K폴리텍
A019550,SBI인베스트먼트
A950110,SBI핀테크솔루션즈
A046140,SBS콘텐츠허브
A151910,SBW생명과학
A036120,SCI평가정보
A099220,SDN
A036540,SFA반도체
A255220,SG
A040610,SG&G
A049470,SGA
A184230,SGA솔루션즈
A016250,SGC이테크건설
A048550,SM C&C
A063440,SM Life Design
A950180,SNK
A289080,SV인베스트먼트
A089230,THE E&M
A161570,THE MIDONG
A192410,THQ
A032540,TJ미디어
A048770,TPC
A246690,TS인베스트먼트
A317240,TS트릴리온
A073570,WI
A057030,YBM넷
A040300,YTN
A051390,YW
A052220,iMBC
A079940,가비아
A078890,가온미디어
A036620,감성코퍼레이션
A217730,강스템바이오텍
A094480,갤럭시아머니트리
A039240,경남스틸
A053950,경남제약
A011040,경동제약
A024910,경창산업
A198440,고려시멘트
A049720,고려신용정보
A014570,고려제약
A348150,고바이오랩
A098460,고영
A038530,골드퍼시픽
A900280,골든센츄리
A215000,골프존
A121440,골프존뉴딘홀딩스
A366030,공구우먼
A014200,광림
A026910,광진실업
A053270,구영테크
A066620,국보디자인
A043650,국순당
A006050,국영지앤엠
A060480,국일신동
A078130,국일제지
A307750,국전약품
A035080,그래디언트
A204020,그리티
A186230,그린플러스
A900070,글로벌에스엠
A204620,글로벌텍스프리
A019660,글로본
A053260,금강철강
A036190,금화피에스시
A049080,기가레인
A035460,기산텔레콤
A308100,까스텔바작
A187790,나노
A286750,나노브릭
A121600,나노신소재
A247660,나노씨엠에스
A039860,나노엔텍
A051490,나라엠앤디
A137080,나래나노텍
A190510,나무가
A242040,나무기술
A089600,나스미디어
A293580,나우IB
A138610,나이벡
A130580,나이스디앤비
A036800,나이스정보통신
A267320,나인테크
A111710,남화산업
A091590,남화토건
A168330,내츄럴엔도텍
A094860,네오리진
A253590,네오셈
A212560,네오오토
A095660,네오위즈
A042420,네오위즈홀딩스
A950220,네오이뮨텍
A311390,네오크레마
A085910,네오티스
A092730,네오팜
A290660,네오펙트
A306620,네온테크
A153460,네이블
A007390,네이처셀
A033640,네패스
A330860,네패스아크
A089140,넥스턴바이오
A065170,넥스트BT
A137940,넥스트아이
A348210,넥스틴
A225570,넥슨게임즈
A217270,넵튠
A194700,노바렉스
A285490,노바텍
A106520,노블엠앤비
A376930,노을
A278650,노터스
A142280,녹십자엠에스
A234690,녹십자웰빙
A054050,농우바이오
A069140,누리플랜
A040160,누리플렉스
A332290,누보
A060260,뉴보텍
A012340,뉴인텍
A214870,뉴지랩파마
A270870,뉴트리
A144960,뉴파워프라즈마
A085670,뉴프렉스
A119860,다나와
A064260,다날
A093640,다믈멀티미디어
A340360,다보링크
A039560,다산네트웍스
A298870,다올인베스트먼트
A032190,다우데이타
A068240,다원시스
A020400,대동금속
A008830,대동기어
A048470,대동스틸
A004780,대륙제관
A017650,대림제지
A007720,대명소노시즌
A317850,대모
A290670,대보마그네틱
A078140,대봉엘에스
A036480,대성미생물
A025440,대성엘텍
A027830,대성창투
A104040,대성파인텍
A020180,대신정보통신
A045390,대아티아이
A108380,대양전기공업
A007680,대원
A048910,대원미디어
A005710,대원산업
A290380,대유
A290120,대유에이피
A120240,대정화금
A003310,대주산업
A078600,대주전자재료
A096350,대창솔루션
A140520,대창스틸
A131220,대한과학
A010170,대한광통신
A060900,대한그린파워
A054670,대한뉴팜
A023910,대한약품
A021040,대호특수강
A067080,대화제약
A298540,더네이쳐홀딩스
A299170,더블유에스아이
A213420,덕산네오룩스
A317330,덕산테코피아
A077360,덕산하이메탈
A090410,덕신하우징
A263600,덕우전자
A194480,데브시스터즈
A263800,데이타솔루션
A206560,덱스터
A261200,덴티스
A067990,도이치모터스
A006620,동구바이오제약
A100130,동국S&C
A005160,동국산업
A075970,동국알앤에스
A086450,동국제약
A099410,동방선기
A033500,동성화인텍
A025950,동신건설
A088130,동아엘텍
A041930,동아화성
A060380,동양에스텍
A079960,동양이엔피
A228340,동양파일
A088910,동우팜투테이블
A094170,동운아나텍
A013120,동원개발
A109860,동일금속
A032960,동일기연
A023790,동일철강
A005290,동진쎄미켐
A025900,동화기업
A073190,듀오백
A030350,드래곤플라이
A203650,드림시큐리티
A223250,드림씨아이에스
A060570,드림어스컴퍼니
A217620,디딤
A187870,디바이스이엔지
A066670,디스플레이텍
A110990,디아이티
A263690,디알젬
A214680,디알텍
A263720,디앤씨미디어
A376300,디어유
A109740,디에스케이
A131030,디에이치피코리아
A196490,디에이테크놀로지
A066900,디에이피
A127120,디엔에이링크
A092070,디엔에프
A039840,디오
A310870,디와이씨
A104460,디와이피엔에프
A079810,디이엔티
A113810,디젠스
A043360,디지아이
A197140,디지캡
A068930,디지털대성
A033130,디지틀조선
A105740,디케이락
A263020,디케이앤디
A290550,디케이티
A187220,디티앤씨
A131180,딜리
A315640,딥노이드
A317120,라닉스
A042510,라온시큐어
A232680,라온테크
A300120,라온피플
A171120,라이온켐텍
A069540,라이트론
A347700,라이프시맨틱스
A214260,라파스
A200350,래몽래인
A171010,램테크놀러지
A084650,랩지노믹스
A217500,러셀
A141080,레고켐바이오
A038390,레드캡투어
A294140,레몬
A228670,레이
A228850,레이언스
A281740,레이크머티리얼즈
A277810,레인보우로보틱스
A215100,로보로보
A090360,로보스타
A108490,로보티즈
A900260,로스웰
A067730,로지시스
A071280,로체시스템즈
A038060,루멘스
A085370,루트로닉
A060240,룽투코리아
A058470,리노공업
A039980,리노스
A019570,리더스 기술투자
A012700,리드코프
A302550,리메드
A377450,리파인
A277070,린드먼아시아
A042500,링네트
A219420,링크제니시스
A195500,마니커에프앤지
A305090,마이크로디지탈
A098120,마이크로컨텍솔
A147760,마이크로프랜드
A377480,마인즈랩
A038290,마크로젠
A220630,맘스터치
A267980,매일유업
A005990,매일홀딩스
A093520,매커스
A377030,맥스트
A100590,머큐리
A067280,멀티캠퍼스
A072870,메가스터디
A215200,메가스터디교육
A133750,메가엠디
A235980,메드팩토
A041920,메디아나
A014100,메디앙스
A054180,메디콕스
A086900,메디톡스
A078160,메디포스트
A065650,메디프론
A021880,메이슨캐피탈
A140410,메지온
A241770,메카로
A059210,메타바이오메드
A058110,멕아이씨에스
A096640,멜파스
A080420,모다이노칩
A080160,모두투어
A100030,모바일리더
A087260,모바일어플라이언스
A101330,모베이스
A012860,모베이스전자
A348030,모비릭스
A250060,모비스
A288980,모아데이타
A033200,모아텍
A118990,모트렉스
A006920,모헨즈
A001810,무림SP
A279600,미디어젠
A095500,미래나노텍
A218150,미래생명자원
A100790,미래에셋벤처투자
A049950,미래컴퍼니
A207760,미스터블루
A059090,미코
A214610,미코바이오메드
A201490,미투온
A950190,미투젠
A214180,민앤지
A206640,바디텍메드
A018700,바른손
A035620,바른손이앤에이
A053030,바이넥스
A301300,바이브컴퍼니
A064550,바이오니아
A314930,바이오다인
A208710,바이오로그디바이스
A142760,바이오리더스
A086820,바이오솔루션
A038460,바이오스마트
A251120,바이오에프디엔씨
A086040,바이오톡스텍
A099430,바이오플러스
A032980,바이온
A222160,바이옵트로
A308080,바이젠셀
A043150,바텍
A323990,박셀바이오
A267790,배럴
A046310,백금T&A
A066410,버킷스튜디오
A206400,베노홀딩스
A019010,베뉴지
A177350,베셀
A225530,보광산업
A250000,보라티알
A006910,보성파워텍
A226340,본느
A014470,부방
A008470,부스타
A338220,뷰노
A100120,뷰웍스
A337930,브랜드엑스코퍼레이션
A099390,브레인즈컴퍼니
A064480,브리지텍
A288330,브릿지바이오테라퓨틱스
A365900,브이씨
A251630,브이원텍
A018290,브이티지엠피
A044480,블루베리 NFT
A033560,블루콤
A369370,블리츠웨이
A126340,비나텍
A121800,비덴트
A082800,비보존 헬스케어
A318410,비비씨
A146320,비씨엔씨
A200780,비씨월드제약
A141000,비아트론
A090460,비에이치
A083650,비에이치아이
A086670,비엠티
A335890,비올
A138580,비즈니스온
A082920,비츠로셀
A042370,비츠로테크
A050090,비케이홀딩스
A307870,비투엔
A357880,비트나인
A032850,비트컴퓨터
A238200,비피도
A093190,빅솔론
A065450,빅텍
A072950,빛샘전자
A143240,사람인에이치알
A100090,삼강엠앤티
A122350,삼기
A014970,삼륭물산
A018310,삼목에스폼
A053700,삼보모터스
A009620,삼보산업
A023600,삼보판지
A009300,삼아제약
A225190,삼양옵틱스
A361670,삼영에스앤씨
A054540,삼영엠텍
A065570,삼영이엔씨
A032280,삼일
A002290,삼일기업공사
A037460,삼지전자
A032750,삼진
A054090,삼진엘앤디
A000250,삼천당제약
A024950,삼천리자전거
A038500,삼표시멘트
A017480,삼현철강
A046390,삼화네트웍스
A027580,상보
A038540,상상인
A101000,상상인인더스트리
A091580,상신이디피
A263810,상신전자
A089980,상아프론테크
A042940,상지카일룸
A042600,새로닉스
A252990,샘씨엔에스
A294630,서남
A038070,서린바이오
A006730,서부T&D
A079650,서산
A100660,서암기계공업
A019770,서연탑메탈
A043710,서울리거
A092190,서울바이오시스
A046890,서울반도체
A063170,서울옥션
A027040,서울전자통신
A018680,서울제약
A093920,서원인텍
A189860,서전기전
A178320,서진시스템
A122690,서진오토모티브
A140070,서플러스글로벌
A011370,서한
A065710,서호전기
A035890,서희건설
A357550,석경에이티
A003100,선광
A171090,선익시스템
A086710,선진뷰티사이언스
A014620,성광벤드
A037350,성도이엔지
A081580,성우전자
A045300,성우테크론
A015750,성우하이텍
A080470,성창오토텍
A043260,성호전자
A148150,세경하이테크
A053060,세동
A340440,세림B&G
A017510,세명전기
A011560,세보엠이씨
A396300,세아메카닉스
A100700,세운메디칼
A258830,세종메디칼
A036630,세종텔레콤
A039310,세중
A067770,세진티에스
A053450,세코닉스
A234340,세틀뱅크
A252500,세화피앤씨
A347000,센코
A331920,셀레믹스
A049180,셀루메드
A299660,셀리드
A268600,셀리버리
A108860,셀바스AI
A208370,셀바스헬스케어
A068760,셀트리온제약
A091990,셀트리온헬스케어
A060230,소니드
A290690,소룩스
A950200,소마젠
A032680,소프트센
A258790,소프트캠프
A066910,손오공
A043100,솔고바이오
A154040,솔루에타
A035610,솔본
A357780,솔브레인
A036830,솔브레인홀딩스
A304100,솔트룩스
A086980,쇼박스
A050960,수산아이앤티
A253840,수젠텍
A236200,슈프리마
A317770,슈프리마아이디
A094840,슈프리마에이치큐
A192440,슈피겐코리아
A099440,스맥
A276040,스코넥
A159910,스킨앤스킨
A115570,스타플렉스
A330730,스톤브릿지벤처스
A253450,스튜디오드래곤
A204630,스튜디오산타클로스
A013810,스페코
A049830,승일
A020710,시공테크
A033170,시그네틱스
A048870,시너지이노베이션
A025320,시노펙스
A131090,시큐브
A139050,시티랩스
A290520,신도기연
A001000,신라섬유
A025870,신라에스지
A065350,신성델타테크
A002800,신신제약
A017000,신원종합개발
A012790,신일제약
A138070,신진에스엠
A226330,신테카바이오
A056700,신화인터텍
A187270,신화콘텍
A243840,신흥에스이씨
A257720,실리콘투
A222800,심텍
A036710,심텍홀딩스
A160980,싸이맥스
A356890,싸이버원
A217330,싸이토젠
A010280,쌍용정보통신
A208640,썸에이지
A222420,쎄노텍
A037760,쎄니트
A099320,쎄트렉아이
A049960,쎌바이오텍
A050890,쏠리드
A066790,씨씨에스
A222080,씨아이에스
A352480,씨앤씨인터내셔널
A264660,씨앤지하이테크
A352700,씨앤투스성진
A297090,씨에스베어링
A359090,씨엔알리서치
A115480,씨유메디칼
A376290,씨유테크
A189330,씨이랩
A096530,씨젠
A900120,씨케이에이치
A101240,씨큐브
A060590,씨티씨바이오
A260930,씨티케이
A013990,아가방컴퍼니
A123860,아나패스
A025980,아난티
A125210,아모그린텍
A357580,아모센스
A052710,아모텍
A074430,아미노로직스
A092040,아미코젠
A083930,아바코
A149950,아바텍
A036010,아비코전자
A050860,아세아텍
A136410,아셈스
A246720,아스타
A067390,아스트
A159010,아스플로
A127710,아시아경제
A154030,아시아종묘
A227610,아우딘퓨쳐스
A143160,아이디스
A054800,아이디스홀딩스
A332370,아이디피
A339950,아이비김영
A099190,아이센스
A289010,아이스크림에듀
A214430,아이쓰리시스템
A040910,아이씨디
A068940,아이씨케이
A052860,아이앤씨
A069920,아이에스이커머스
A038880,아이에이
A307180,아이엘사이언스
A101390,아이엠
A078860,아이오케이
A114810,아이원스
A090150,아이윈
A031310,아이즈비전
A059100,아이컴포넌트
A262840,아이퀘스트
A175250,아이큐어
A052460,아이크래프트
A119830,아이텍
A124500,아이티센
A372800,아이티아이즈
A084850,아이티엠반도체
A114840,아이패밀리에스씨
A027360,아주IB투자
A032080,아즈텍WB
A013310,아진산업
A059120,아진엑스텍
A158430,아톤
A067160,아프리카TV
A001540,안국약품
A053800,안랩
A065660,안트로젠
A297570,알로이스
A260660,알리코제약
A361570,알비더블유
A131370,알서포트
A140670,알에스오토메이션
A096610,알에프세미
A061040,알에프텍
A148250,알엔투테크놀로지
A347860,알체라
A196170,알테오젠
A123750,알톤스포츠
A085810,알티캐스트
A117670,알파홀딩스
A291650,압타머사이언스
A293780,압타바이오
A196300,애니젠
A310200,애니플러스
A179530,애드바이오텍
A205500,액션스퀘어
A052790,액토즈소프트
A290740,액트로
A238090,앤디포스
A092600,앤씨앤
A129890,앱코
A174900,앱클론
A255440,야스
A030960,양지사
A102120,어보브반도체
A238120,얼라인드
A019990,에너토크
A270660,에브리봇
A038680,에스넷
A217480,에스디생명공학
A042110,에스씨디
A298060,에스씨엠생명과학
A260970,에스앤디
